	name	code
0	广发中证养老	000968
1	安信稳健增值混合C	001338
2	天弘中证医药100A	001550
3	天弘中证银行指数A	001594
4	大成景安短融债券E	002086
5	长安鑫益增强混合C	002147
6	景顺长城中证500低波动	003318
7	鹏扬泓利债券C	006060
8	易方达安瑞短债C	006320
9	易方达中概互联50ETF联接人民币A	006327
10	民生加银鹏程混合C	007749
11	华安纳斯达克100指数	040046
12	嘉实深证基本面120联接	070023
13	大成中证红利指数A	090010
14	易方达标普信息科技	161128
15	招商中证白酒指数	161725
16	交银中证海外中国互联网指数	164906
17	申万菱信沪深300价值指数	310398
18	工银双利债券B	485011
19	华宝香港中小	501021
20	华宝红利基金	501029
21	华夏上证50AH优选指数	501050
22	新华纯债C	519153
23	银河沪深300价值指数	519671
24	建信深证基本面60ETF联接A	530015
